model,category,brand,n_test,scorable,n_train,mean_test_units,pooled_wmape,percat_wmape,delta_wmape,pooled_mape,percat_mape,delta_mape
LightGBM,CSD,1724,7,True,26,135.75447142857143,21.18069592116011,18.31100357944179,2.86969234171832,20.463710720387116,18.570671443640975,1.8930392767461406
LightGBM,CSD,7-UP,7,True,26,30267.55664285714,33.686294661938796,48.51402886621907,-14.827734204280276,26.44480972841202,45.920053325358175,-19.475243596946154
LightGBM,CSD,ABBOTT'S,7,False,26,0.0,1126644599852.7139,1270527120730.0278,-143882520877.31396,160949228550.38773,181503874390.004,-20554645839.616272
LightGBM,CSD,ALBANI,7,True,26,7342.216328571431,41.88294894471936,26.35731536893867,15.525633575780688,52.50508734102108,29.189184442083704,23.315902898937377
LightGBM,CSD,AYYO,7,True,26,289.803,58.393906199656634,40.10106943519392,18.292836764462713,93.60556432380642,69.39400962598806,24.211554697818357
LightGBM,CSD,BORNHOLMS MOSTERI,7,True,26,61.71428571428571,42.17246514297245,58.769576065833974,-16.597110922861525,46.29988455325061,69.29888421635958,-22.998999663108975
LightGBM,CSD,BOYLAN,7,True,26,27.0,61.97087787204166,52.60864021029874,9.362237661742924,279.65968702540437,125.8123339668884,153.84735305851598
LightGBM,CSD,BRAIN LICKER,7,False,26,3.2857142857142856,133.7154346287203,149.46069245952359,-15.745257830803297,27703346237.909763,142114202000.2037,-114410855762.29395
LightGBM,CSD,BRITVIC,7,True,26,6.428571428571428,42.442224108728404,56.182040880851325,-13.739816772122921,44.40423940736576,56.14579331193198,-11.741553904566224
LightGBM,CSD,BUNDABERG,7,True,26,142.00000000000003,47.12743131703915,34.19101264555422,12.93641867148493,56.31723286226763,36.01910387009941,20.298128992168223
LightGBM,CSD,CANDY CAN,7,True,26,30.782628571428567,71.69473138068182,169.27369901198756,-97.57896763130574,269.8240752826133,300.37452436314555,-30.550449080532246
LightGBM,CSD,CARIBIA,7,True,26,114636.36190000003,35.7995358030615,36.564721188318984,-0.7651853852574817,28.804515014209013,33.69753293782012,-4.893017923611108
LightGBM,CSD,CARLSBERG SPORT,7,False,26,3.1428571428571432,47.29981294268853,83.3954627803451,-36.095649837656566,10135600767.07889,11966446762.075773,-1830845994.9968834
LightGBM,CSD,CHUPA CHUPS,7,True,26,109.54225714285712,40.26515633179578,147.34472224049802,-107.07956590870224,51.774281551266554,169.11937064404566,-117.3450890927791
LightGBM,CSD,COCA COLA,7,True,26,4443656.940257144,8.294944635119803,5.705044104111626,2.589900531008177,8.132260614799334,5.032001213519973,3.1002594012793603
LightGBM,CSD,D&G,7,False,26,0.0,1157525717247.4604,480603345030.5676,676922372216.8928,165360816749.63718,68657620718.65252,96703196030.98465
LightGBM,CSD,DEPANNEUR FRIZZANTE,7,False,26,4.285714285714286,106.12271929734976,61.52997849553912,44.59274080181064,144864900523.9578,165713781556.0,-20848881032.042206
LightGBM,CSD,DOCTOR POLIDORIS,7,False,26,0.7142857142857143,488.9965074537991,373.9440217461967,115.05248570760239,106971646492.71762,81829009325.59464,25142637167.122986
LightGBM,CSD,DOUBLE DUTCH,7,True,26,2213.9319428571434,72.06991987029906,68.72433540442584,3.345584465873216,258.08972108480543,155.9715117453466,102.11820933945884
LightGBM,CSD,DR PEPPER,7,True,26,16342.02538571428,29.59134353931087,25.578310630921308,4.013032908389562,24.52031591267163,19.312929359128496,5.2073865535431345
LightGBM,CSD,EAGLE,7,False,26,0.0,818000850241.7483,504286696285.07855,313714153956.66974,116857264320.24976,72040956612.15408,44816307708.09567
LightGBM,CSD,EASIS,7,False,26,7304.71428571429,142.07374366193002,208.09122450055372,-66.0174808386237,53250332961.360725,99894813253.97394,-46644480292.61321
LightGBM,CSD,EAST IMPERIAL,7,False,26,0.28571428571428575,556.640704283343,111.15196500087978,445.4887392824632,148968378494.80423,16660638632.808453,132307739861.99577
LightGBM,CSD,EBELTOFT,7,True,26,4326.872614285714,23.332697156934167,16.585023972226473,6.747673184707693,22.223109229364475,14.289172559056485,7.93393667030799
LightGBM,CSD,EFFERVE,7,True,26,1873.2644142857148,84.06040111566028,50.840196030582455,33.22020508507783,85.03864061887454,84.27403720074994,0.7646034181245938
LightGBM,CSD,EGO,7,True,26,123002.65877142856,12.972820455980408,13.520346651006976,-0.5475261950265686,11.9602588252002,12.586087650416838,-0.6258288252166384
LightGBM,CSD,FANTA,7,True,26,904402.2420714282,13.17955770635782,20.13296441075943,-6.953406704401612,14.4371833291832,18.274198835227786,-3.837015506044585
LightGBM,CSD,FAXE KONDI,7,True,26,3398215.331685715,12.070496023637146,12.309122016697604,-0.23862599306045773,12.296025574802302,12.359121388105306,-0.06309581330300418
LightGBM,CSD,FENTIMANS,7,True,26,6978.1217000000015,24.479782440378315,28.863617008349042,-4.383834567970727,24.077877345777363,27.417666012460884,-3.3397886666835213
LightGBM,CSD,FEVER TREE,7,True,26,194381.0209428571,42.11096349580831,26.051756072189193,16.05920742361912,48.29476596693575,26.084124612821054,22.210641354114696
LightGBM,CSD,FINGERS CROSSED,7,True,26,76.1776,111.70955109377208,131.8161700214387,-20.106618927666617,141.18304906278217,113.84427468663134,27.338774376150837
LightGBM,CSD,FRANKLIN & SONS,7,True,26,418.7142857142857,26.984953060490017,18.97107865787038,8.013874402619638,24.53018699302903,15.855694897844188,8.674492095184842
LightGBM,CSD,FREM,7,True,26,42434.06962857143,11.414708213439354,13.578282631333016,-2.1635744178936616,12.535254816636469,14.198886071835295,-1.6636312551988262
LightGBM,CSD,FRESH,7,True,26,42979.807157142866,37.49119087300641,40.50403268547238,-3.0128418124659717,31.95891375606614,32.92164903157995,-0.9627352755138148
LightGBM,CSD,FRESH MOJITO,7,True,26,11283.687028571427,65.89746067776402,35.463263099797445,30.43419757796657,71.25320354456616,29.322238660210626,41.93096488435553
LightGBM,CSD,FUGLSANG,7,True,26,213.14285714285714,46.31829658201255,38.15685290906979,8.16144367294276,56.227256751384424,43.33451481898682,12.892741932397605
LightGBM,CSD,GALVANINA,7,False,26,459.142857142857,127.04061397603219,103.60403980325952,23.436574172772666,12641200871618.691,4493072373765.132,8148128497853.56
LightGBM,CSD,GAZOZ,7,True,26,33.00000000000001,61.106893998700414,66.63266374838342,-5.525769749683008,179.04377711382568,175.48053924545033,3.563237868375353
LightGBM,CSD,GUARANA ANARCTICA,7,True,26,32300.670485714294,58.72937867710114,48.180927147132365,10.548451529968773,67.74882410764718,55.955201376200925,11.793622731446256
LightGBM,CSD,HANCOCK,7,True,26,256735.15640000004,39.47942105734969,24.72982171291483,14.74959934443486,45.22183250440327,27.498225286522327,17.72360721788094
LightGBM,CSD,HARBOE,7,True,26,6625064.701242857,20.99552384226606,21.268107401632292,-0.27258355936623246,19.709335987479285,20.726695470109007,-1.0173594826297219
LightGBM,CSD,HARBOE OTHER,7,True,26,86755.71428571425,30.864188966279166,14.193803065744056,16.67038590053511,33.14644360455867,14.478731932537652,18.667711672021017
LightGBM,CSD,HATA RAMUNE,7,True,26,1782.701257142857,60.680057178494685,25.134913247663697,35.54514393083099,62.496176615264886,24.956355178120855,37.53982143714403
